[Err 0]:	"Success"
[Err 1]:	"Operation not permitted"
[Err 2]:	"No such file or directory"
[Err 3]:	"No such process"
[Err 4]:	"Interrupted system call"
[Err 5]:	"Input/output error"
[Err 6]:	"No such device or address"
[Err 7]:	"Argument list too long"
[Err 8]:	"Exec format error"
[Err 9]:	"Bad file descriptor"
[Err 10]:	"No child processes"
[Err 11]:	"Resource temporarily unavailable"
[Err 12]:	"Cannot allocate memory"
[Err 13]:	"Permission denied"
[Err 14]:	"Bad address"
[Err 15]:	"Block device required"
[Err 16]:	"Device or resource busy"
[Err 17]:	"File exists"
[Err 18]:	"Invalid cross-device link"
[Err 19]:	"No such device"
[Err 20]:	"Not a directory"
[Err 21]:	"Is a directory"
[Err 22]:	"Invalid argument"
[Err 23]:	"Too many open files in system"
[Err 24]:	"Too many open files"
[Err 25]:	"Inappropriate ioctl for device"
[Err 26]:	"Text file busy"
[Err 27]:	"File too large"
[Err 28]:	"No space left on device"
[Err 29]:	"Illegal seek"
[Err 30]:	"Read-only file system"
[Err 31]:	"Too many links"
[Err 32]:	"Broken pipe"
[Err 33]:	"Numerical argument out of domain"
[Err 34]:	"Numerical result out of range"
[Err 35]:	"Resource deadlock avoided"
[Err 36]:	"File name too long"
[Err 37]:	"No locks available"
[Err 38]:	"Function not implemented"
[Err 39]:	"Directory not empty"
[Err 40]:	"Too many levels of symbolic links"
[Err 41]:	"Unknown error 41"
[Err 42]:	"No message of desired type"
[Err 43]:	"Identifier removed"
[Err 44]:	"Channel number out of range"
[Err 45]:	"Level 2 not synchronized"
[Err 46]:	"Level 3 halted"
[Err 47]:	"Level 3 reset"
[Err 48]:	"Link number out of range"
[Err 49]:	"Protocol driver not attached"
[Err 50]:	"No CSI structure available"
[Err 51]:	"Level 2 halted"
[Err 52]:	"Invalid exchange"
[Err 53]:	"Invalid request descriptor"
[Err 54]:	"Exchange full"
[Err 55]:	"No anode"
[Err 56]:	"Invalid request code"
[Err 57]:	"Invalid slot"
[Err 58]:	"Unknown error 58"
[Err 59]:	"Bad font file format"
[Err 60]:	"Device not a stream"
[Err 61]:	"No data available"
[Err 62]:	"Timer expired"
[Err 63]:	"Out of streams resources"
[Err 64]:	"Machine is not on the network"
[Err 65]:	"Package not installed"
[Err 66]:	"Object is remote"
[Err 67]:	"Link has been severed"
[Err 68]:	"Advertise error"
[Err 69]:	"Srmount error"
[Err 70]:	"Communication error on send"
[Err 71]:	"Protocol error"
[Err 72]:	"Multihop attempted"
[Err 73]:	"RFS specific error"
[Err 74]:	"Bad message"
[Err 75]:	"Value too large for defined data type"
[Err 76]:	"Name not unique on network"
[Err 77]:	"File descriptor in bad state"
[Err 78]:	"Remote address changed"
[Err 79]:	"Can not access a needed shared library"
[Err 80]:	"Accessing a corrupted shared library"
[Err 81]:	".lib section in a.out corrupted"
[Err 82]:	"Attempting to link in too many shared libraries"
[Err 83]:	"Cannot exec a shared library directly"
[Err 84]:	"Invalid or incomplete multibyte or wide character"
[Err 85]:	"Interrupted system call should be restarted"
[Err 86]:	"Streams pipe error"
[Err 87]:	"Too many users"
[Err 88]:	"Socket operation on non-socket"
[Err 89]:	"Destination address required"
[Err 90]:	"Message too long"
[Err 91]:	"Protocol wrong type for socket"
[Err 92]:	"Protocol not available"
[Err 93]:	"Protocol not supported"
[Err 94]:	"Socket type not supported"
[Err 95]:	"Operation not supported"
[Err 96]:	"Protocol family not supported"
[Err 97]:	"Address family not supported by protocol"
[Err 98]:	"Address already in use"
[Err 99]:	"Cannot assign requested address"
[Err 100]:	"Network is down"
[Err 101]:	"Network is unreachable"
[Err 102]:	"Network dropped connection on reset"
[Err 103]:	"Software caused connection abort"
[Err 104]:	"Connection reset by peer"
[Err 105]:	"No buffer space available"
[Err 106]:	"Transport endpoint is already connected"
[Err 107]:	"Transport endpoint is not connected"
[Err 108]:	"Cannot send after transport endpoint shutdown"
[Err 109]:	"Too many references: cannot splice"
[Err 110]:	"Connection timed out"
[Err 111]:	"Connection refused"
[Err 112]:	"Host is down"
[Err 113]:	"No route to host"
[Err 114]:	"Operation already in progress"
[Err 115]:	"Operation now in progress"
[Err 116]:	"Stale file handle"
[Err 117]:	"Structure needs cleaning"
[Err 118]:	"Not a XENIX named type file"
[Err 119]:	"No XENIX semaphores available"
[Err 120]:	"Is a named type file"
[Err 121]:	"Remote I/O error"
[Err 122]:	"Disk quota exceeded"
[Err 123]:	"No medium found"
[Err 124]:	"Wrong medium type"
[Err 125]:	"Operation canceled"
[Err 126]:	"Required key not available"
[Err 127]:	"Key has expired"
[Err 128]:	"Key has been revoked"
[Err 129]:	"Key was rejected by service"
[Err 130]:	"Owner died"
[Err 131]:	"State not recoverable"
[Err 132]:	"Operation not possible due to RF-kill"
[Err 133]:	"Memory page has hardware error"
